lineage,old_label,new_label,N
TNKILC,cTNI19 (gd-like T prolif),Tcd8-CXCL13-prolif,109
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd8-GZMK,72
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-gdlike,209
TNKILC,cTNI11 (CD8+GZMK+),Tcd4-TFH,80
TNKILC,cTNI17 (gd-like T),Tcd4-CXCL13,239
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd4-Treg-prolif,304
TNKILC,cTNI23 (NK CD16A+),Tplzf-gdlike,11
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd4-TFH,49
TNKILC,cTNI19 (gd-like T prolif),Tcd4-Treg-prolif,14
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd4-Treg-prolif,71
TNKILC,cTNI10 (CD8+ IL7R+),Tcd4-Treg-prolif,34
TNKILC,cTNI10 (CD8+ IL7R+),Tcd4-Treg,4
TNKILC,cTNI17 (gd-like T),Tcd8-CXCL13-prolif,25
TNKILC,cTNI17 (gd-like T),Tcd4-Treg,16
TNKILC,cTNI17 (gd-like T),Tcd4-IL7R,48
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd8-CXCL13,189
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd4-Treg,51
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-HOBIT,502
TNKILC,cTNI22 (cTNI22),ILC3,19
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tplzf-gdlike-prolif,88
TNKILC,cTNI11 (CD8+GZMK+),Tcd4-IL7R,136
TNKILC,cTNI11 (CD8+GZMK+),ILC3,85
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),NK-CD16,175
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-GZMK,437
TNKILC,cTNI12 (CD8+ IL7R+),Tcd8-GZMK,97
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd8-gdlike,164
TNKILC,cTNI15 (CD8+ CXCL13+ HSP+),Tcd4-Treg-prolif,43
TNKILC,cTNI22 (cTNI22),Tcd4-IL7R,26
TNKILC,cTNI19 (gd-like T prolif),Tcd8-HOBIT,16
TNKILC,cTNI12 (CD8+ IL7R+),Tcd8-HOBIT,130
TNKILC,cTNI03 (CD4+ IL7R+HSP+),Tcd8-HOBIT,50
TNKILC,cTNI08 (CD4+ Treg),Tcd8-GZMK,44
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-HOBIT,444
TNKILC,cTNI14 (CD8+ CXCL13+),NK-CD16,194
TNKILC,cTNI14 (CD8+ CXCL13+),Tplzf-gdlike,39
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd8-CXCL13-prolif,25
TNKILC,cTNI08 (CD4+ Treg),NK-CD16,13
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-gdlike,33
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd4-TFH,108
TNKILC,cTNI08 (CD4+ Treg),Tcd8-HOBIT,66
