lineage,old_label,new_label,N
TNKILC,cTNI20 (PLZF+ T),Tcd8-gdlike,32
TNKILC,cTNI07 (CD4+ CXCL13+),NK-XCL1,1
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-HOBIT,9
TNKILC,cTNI25 (NK XCL1+),Tcd4-TFH,1
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd4-TFH,2
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd4-Treg-prolif,1
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-GZMK,8
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-CXCL13-LAG3,14
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd4-Treg,3
TNKILC,cTNI10 (CD8+ IL7R+),NK-CD16,4
TNKILC,cTNI17 (gd-like T),Tcd4-Treg-prolif,1
TNKILC,cTNI24 (NK GZMK+),Tcd8-CXCL13-LAG3,2
TNKILC,cTNI25 (NK XCL1+),Tcd8-GZMK,1
TNKILC,cTNI17 (gd-like T),Tcd4-TFH,1
TNKILC,cTNI01 (CD4+ IL7R+),ILC3,2
TNKILC,cTNI10 (CD8+ IL7R+),Tcd8-CXCL13-prolif,1
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),Tcd8-gdlike,1
TNKILC,cTNI19 (gd-like T prolif),NK-CD16,5
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-CXCL13,5
TNKILC,cTNI21 (PLZF+ T prolif),NK-CD16,2
TNKILC,cTNI01 (CD4+ IL7R+),Tcd8-GZMK,1
TNKILC,cTNI19 (gd-like T prolif),Tcd8-gdlike,2
TNKILC,cTNI11 (CD8+GZMK+),Tplzf-gdlike-prolif,1
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-CXCL13-prolif,1
TNKILC,cTNI19 (gd-like T prolif),Tcd8-CXCL13-LAG3,12
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-CXCL13-prolif,4
TNKILC,cTNI07 (CD4+ CXCL13+),Tcd8-CXCL13-LAG3,2
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd4-CXCL13,9
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd4-IL7R,8
TNKILC,cTNI19 (gd-like T prolif),Tplzf-gdlike-prolif,8
TNKILC,cTNI09 (CD4+ Treg prolif),ILC3,1
TNKILC,cTNI07 (CD4+ CXCL13+),Tplzf-gdlike-prolif,1
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd4-CXCL13,51
TNKILC,cTNI20 (PLZF+ T),Tcd4-CXCL13,3
TNKILC,cTNI20 (PLZF+ T),Tcd8-CXCL13,1
TNKILC,cTNI25 (NK XCL1+),Tcd4-IL7R,2
TNKILC,cTNI23 (NK CD16A+),Tplzf-gdlike-prolif,1
TNKILC,cTNI14 (CD8+ CXCL13+),Tcd4-Treg,3
TNKILC,cTNI18 (gd-like T PDCD1+),Tplzf-gdlike-prolif,2
TNKILC,cTNI19 (gd-like T prolif),Tcd4-Treg-prolif,1
TNKILC,cTNI19 (gd-like T prolif),Tcd4-CXCL13,6
TNKILC,cTNI09 (CD4+ Treg prolif),Tcd4-IL7R,2
TNKILC,cTNI21 (PLZF+ T prolif),Tcd4-Treg-prolif,5
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd4-Treg,4
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd8-CXCL13,43
TNKILC,cTNI19 (gd-like T prolif),Tcd4-Treg,1
TNKILC,cTNI12 (CD8+ IL7R+),Tcd4-CXCL13,2
TNKILC,cTNI20 (PLZF+ T),Tcd4-IL7R,1
TNKILC,cTNI08 (CD4+ Treg),ILC3,1
TNKILC,cTNI04 (CD4+ IL7R+CCL5+),NK-CD16,1
TNKILC,cTNI20 (PLZF+ T),Tcd8-GZMK,1
TNKILC,cTNI19 (gd-like T prolif),Tcd8-CXCL13,1
TNKILC,cTNI09 (CD4+ Treg prolif),NK-CD16,1
TNKILC,cTNI12 (CD8+ IL7R+),Tcd8-gdlike,3
TNKILC,cTNI12 (CD8+ IL7R+),Tplzf-gdlike,2
TNKILC,cTNI18 (gd-like T PDCD1+),ILC3,2
TNKILC,cTNI12 (CD8+ IL7R+),Tcd4-TFH,2
TNKILC,cTNI20 (PLZF+ T),Tcd8-CXCL13-LAG3,1
TNKILC,cTNI18 (gd-like T PDCD1+),Tcd4-TFH,12
TNKILC,cTNI17 (gd-like T),ILC3,1
TNKILC,cTNI12 (CD8+ IL7R+),Tcd4-IL7R,1
TNKILC,cTNI20 (PLZF+ T),ILC3,2
TNKILC,cTNI22 (cTNI22),Tcd4-CXCL13,2
TNKILC,cTNI12 (CD8+ IL7R+),Tcd8-CXCL13-LAG3,1
TNKILC,cTNI19 (gd-like T prolif),Tplzf-gdlike,4
TNKILC,cTNI24 (NK GZMK+),ILC3,1
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd4-IL7R,1
TNKILC,cTNI12 (CD8+ IL7R+),ILC3,2
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),ILC3,1
TNKILC,cTNI20 (PLZF+ T),Tcd4-Treg-prolif,1
TNKILC,cTNI16 (CD8+ CXCL13+ prolif),Tcd4-TFH,1
TNKILC,cTNI25 (NK XCL1+),Tcd8-HOBIT,1
TNKILC,cTNI12 (CD8+ IL7R+),NK-CD16,1
