MMRstatus,population,xbin,ybin,x_mid,y_mid,n_pat,val,lo,hi,n_pat_arm
MMRd,CD8-all,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,1.41220423412204,1.31731573213064,3.12102382009173,8
MMRd,Tcd8-CXCL13-LAG3,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,5,0.154559505409583,0.136054421768708,0.229508196721311,8
MMRd,Tcd8-HOBIT,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,0.291402846091832,0.148706514303089,1.18855218855219,8
MMRd,Tplzf-gdlike-comb,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,0.499163599866176,0.292445318720435,0.810275088415394,8
MMRd,Myeloid-mregDC,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,7,1.02827763496144,0.821995548197961,1.47657237673831,8
MMRd,Myeloid-ISG,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,11.4959075419708,6.94694428536366,12.8213205645161,8
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,25.9926664904863,20.3438190296981,30.7516453196029,8
MMRd,Tcd4-CXCL13,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,1.16423124090514,0.571739688685209,1.74802223283094,8
MMRd,Tcd4-Treg-comb,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,7,1.46627565982405,1.2691807838756,1.74777072622108,8
MMRd,Tcd8-CXCL13-comb,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,0.965777014877786,0.374935963114754,1.90897843787031,8
MMRd,CD8-all,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,1.88854822026389,0.866239622402967,3.21422727644604,8
MMRd,Tcd8-GZMK,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,5,1.17302052785924,0.327868852459016,1.25173852573018,8
MMRd,Tcd8-HOBIT,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,6,0.310561992211913,0.266115839546472,0.394901844547299,8
MMRd,Tplzf-gdlike-comb,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,8,0.659607422830308,0.366282532991202,1.01706605257758,8
MMRd,Myeloid-mregDC,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,5,1.05820105820106,0.87719298245614,1.38121546961326,8
MMRd,Myeloid-ISG,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,7,17.6470588235294,14.729873749795,18.7830687830688,8
MMRd,Myeloid-noDC-noGran,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,7,28.9473684210526,20.9157329477978,34.1269841269841,8
MMRd,Tcd4-CXCL13,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,5,2.10280373831776,1.96078431372549,2.63157894736842,8
MMRd,Tcd4-Treg-comb,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,5,2.57009345794393,1.96078431372549,3.17460317460317,8
MMRd,Tcd8-CXCL13-comb,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,4,2.66960886119765,1.43381783446068,3.75816993464052,8
MMRd,CD8-all,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,5,3.92156862745098,2.80373831775701,5.26315789473684,8
MMRd,Tcd8-GZMK,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,4,1.11083784226922,0.419528063200289,1.97716513505987,8
MMRd,Tcd8-HOBIT,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,4,1.98803082472536,0.419528063200289,3.55750487329435,8
MMRd,Myeloid-mregDC,"(-15,-10]","[0,0.729]",-12.5,0.364704876434944,8,0.375611645017073,0.283352064940689,0.49969100938029,8
MMRd,Myeloid-ISG,"(-15,-10]","[0,0.729]",-12.5,0.364704876434944,8,3.91752738537345,3.20870444184853,4.82251521298174,8
