MMRstatus,population,xbin,ybin,x_mid,y_mid,n_pat,n_pat_arm,passes
MMRd,Myeloid-ISG,"(-15,-10]","[0,0.729]",-12.5,0.364704876434944,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-15,-10]","[0,0.729]",-12.5,0.364704876434944,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-15,-10]","[0,0.729]",-12.5,0.364704876434944,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-15,-10]","[0,0.729]",-12.5,0.364704876434944,7,8,TRUE
MMRd,Myeloid-ISG,"(-20,-15]","(1.46,2.19]",-17.5,1.82352438217472,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-20,-15]","(1.46,2.19]",-17.5,1.82352438217472,8,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-20,-15]","(1.46,2.19]",-17.5,1.82352438217472,5,8,TRUE
MMRd,Myeloid-ISG,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,8,TRUE
MMRd,CD8-all,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,8,TRUE
MMRd,Tcd8-HOBIT,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,7,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,7,8,TRUE
MMRd,Myeloid-ISG,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,8,TRUE
MMRd,Tcd8-HOBIT,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,8,TRUE
MMRd,CD8-all,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,8,TRUE
MMRd,Myeloid-mregDC,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,8,TRUE
MMRd,Myeloid-ISG,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,8,TRUE
MMRd,CD8-all,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,8,TRUE
MMRd,Tcd8-HOBIT,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,7,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,7,8,TRUE
MMRd,Myeloid-mregDC,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,8,8,TRUE
MMRd,Myeloid-ISG,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,8,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,8,8,TRUE
MMRd,Tcd4-CXCL13,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,8,8,TRUE
MMRd,Tcd4-Treg-comb,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,7,8,TRUE
MMRd,Tcd8-CXCL13-comb,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,7,8,TRUE
MMRd,CD8-all,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,7,8,TRUE
MMRd,Tcd8-GZMK,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,6,8,TRUE
MMRd,Tcd8-HOBIT,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,6,8,TRUE
MMRd,Tplzf-gdlike-comb,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,6,8,TRUE
MMRd,Myeloid-mregDC,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,4,8,TRUE
MMRd,Myeloid-ISG,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,7,8,TRUE
MMRd,Myeloid-noDC-noGran,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,7,8,TRUE
MMRd,Tcd4-CXCL13,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,4,8,TRUE
